125.508,23.11
140.874,25.303
159.212,29.029
171.907,37.965
183.289,51.13
192.406,66.515
196.81,79.876
203.116,95.502
205.65,108.604
206.505,121.886
207.509,135.205
205.233,151.185
204.555,167.142
195.186,183.369
188.406,196.873
171.514,214.187
139.35,222.244
113.54,223.19
100.106,217.989
83.138,209.115
70.993,196.697
57.636,180.561
51.878,162.067
49.739,149.845
45.933,133.483
48.135,109.022
50.049,97.33
56.314,81.108
61.609,65.524
69.876,53.587
80.044,41.157
93.294,31.216
