131.304,25.506
153.874,28.223
163.757,32.938
171.136,38.95
180.096,48.528
189.507,59.367
198.491,78.67
200.111,94.907
205.629,110.594
208.676,128.11
208.676,146.21
205.937,161.137
198.62,175.716
187.792,191.994
175.585,210.112
161.795,220.302
139.128,227.17
118.836,226.686
96.548,218.265
81.138,206.447
69.391,193.676
57.384,175.387
53.352,159.229
48.27,148.142
46.628,129.367
50.078,115.225
51.853,101.421
52.793,83.567
59.165,66.169
66.981,54.255
76.705,43.171
97.604,29.177
