126.28,23.131
145.12,23.639
164.021,29.446
174.418,40.99
186.91,51.546
196.392,64.51
202.418,80.567
205.628,100.232
206.114,119.495
209.024,137.675
208.065,150.048
203.097,165.216
195.576,180.745
185.998,198.178
172.756,213.198
151.867,221.447
135.891,223.59
113.563,225.76
98.851,223.533
81.325,215.123
66.435,199.565
57.241,180.615
49.507,166.091
45.124,151.583
42.724,137.802
48.635,117.588
51.169,103.299
52.646,91.285
60.732,72.711
67.208,61.747
74.181,51.087
87.574,36.807
