125.762,28.604
138.894,27.034
162.829,30.738
173.686,41.783
183.427,53.524
191.234,65.895
198.389,82.788
200.344,98.293
203.54,113.763
206.707,125.751
206.964,147.966
204.659,159.32
195.432,175.66
188.388,189.85
179.589,201.549
167.254,211.218
152.038,218.002
129.373,221.811
106.269,223.629
85.678,213.242
71.202,203.392
59.596,184.915
53.952,162.999
51.451,149.473
53.266,132.295
53.174,116.444
56.001,101.246
58.646,86.298
63.31,69.778
73.05,57.574
83.421,45.86
98.64,33.206
