126.698,25.586
144.727,27.409
162.153,33.982
175.365,44.673
183.416,56.771
191.295,69.737
197.145,85.123
201.986,98.247
205.082,112.739
205.917,125.875
205.196,142.979
201.934,159.377
195.083,179.26
186.492,193.07
174.012,204.185
156.895,214.636
132.292,219.069
116.622,219.971
96.037,215.461
80.32,206.133
66.461,196.368
57.086,180.325
52.762,165.811
49.766,145.652
50.423,128.561
52.332,114.008
56.413,94.475
63.712,78.82
69.968,61.653
77.344,48.313
89.221,37.815
105.682,28.803
